"daa_id","name","address","postal_address","phone","fax","website","email","officer","facilities","access","focus","quantity","enquiries","notes","holdings","guides","references","see_also","last_updated","n_id","public","state"
"334","Australian Jewish Historical Society Victoria Inc",,,,,,,,"Open by appointment. General reference assistance available; stamped addressed envelope is vital for mail enquiries. Copying services for books, journals and original records to A3 available.","As much advance notice of visits as possible required. Access available for non-members by special arrangement. Closed period varies.","All records of public or private nature pertaining to the history of Jews in Australia, New Zealand and Pacific areas.",,,"There is presently no-one servicing this collection.","<ul> <li>Various Jewish Communal Organisations: Minutes, Publications, Photographs 1800- .</li> <li>Private papers: Minutes, Publications, Photographs. Genealogical compilations: Charts, Photographs.</li> </ul>",,,,"2010-10-11","976","1","VIC"
"335","Australian Lesbian and Gay Archives Inc","Victorian AIDS Council, 6 Claremont Street, South Yarra Vic 3141","PO Box 124, Parkville 3052","(03) 9499-1769","(03) 9421 2778","http://home.vicnet.net.au/~alga/","algarchives@hotmail.com","Secretary","Open Thurs 7-9pm; by arrangement at other times. General reference assistance available. Copying services for books, journals and original records to A3 available. Introductory brochure available.","Access is by appointment only.","The Archives collects and preserves any material produced by lesbians and gay males which reflect their lives and experiences. We also collect and preserve any material produced by non-gay people or groups which refer to gay and lesbian lifestyles. The collection focuses on Australasia but has selected overseas material.","200m (100% collecting)","Secretary",,,,,,"2010-10-11","977","1","VIC"
"336","Australian Medical Association (Victorian Branch)",,,,,,,,,,,,,"AMA Victoria Limited no longer runs a library/museum from its offices. This collection has been donated to the medical libraries at Monash and Melbourne Universities.",,,,,"2010-10-11","978","1","VIC"
"337","Golden Dragon Museum","5-11 Bridge Street, Bendigo 3550","PO Box 877, Bendigo 3550","(03) 5441-5044","(03) 5443-3127","http://users.netcon.net.au/gdmb/",,"Director","Archive collection is not yet open to the public.",,"All Chinese history in Australia, but mainly early Chinese history in Bendigo and surrounding districts. (90% in-house).",,,,,,,,"2010-10-11","979","1","VIC"
"338","Bible College of Victoria","Albert Hill Road, Lilydale 3140
","PO Box 380, Lilydale 3140
","(03) 9735 8223","(03) 9735-0721","http://www.bcv.vic.edu.au",,"Librarian","Open by appointment only. General reference assistance available. Copying services for books and journals available.
","Access form must be completed; one week (minimum) should be allowed for approval. Closed period of 25 years applies for records of Bible College of Victoria. Access to records not normally available for research can be gained subject to approval by Principal.
","The collection focus is on material of a missiological nature deposited by various mission organisations and agencies working both within Australia and overseas.
",,,,,,,,"2010-10-11","980","1","VIC"
"339","Blessed Sacrament Congregation and St Francis Church Heritage Centre","St Francis Church, 326 Lonsdale Street, Melbourne 3000
","As above
","(03) 9631-5017","(03) 9663-2817",,,"Provincial Archivist","Open by appointment, usually on Wednesdays and Fridays, other times can be negotated. Photographs can be copied. A4 and A3 photocopy facilities are also available for most paper documents. New storage facility just opened late 1998.
","All records are closed until requested. They are then assessed by the Provincial Archivist to see if they are available to the public. All records held in the archives are available to the members of the Congregation of the Blessed Sacrament.
","Records relating to the Blessed Sacrament Congregation in Australia, India and Sri Lanka since the foundation of the congregation in Australia in 1929 at St. Francis Church, Melbourne. Records relating to St. Francis Church from at least 1929. There are a few early records of the church prior to 1929. There are no baptisman, marriage and other registers held in the archives. All those records can be found with the Archdiocese of Melbourne, St Patrick's Cathedral, East Melbourne.
","145 shelf metres of books, paper records, and film and sound recordings (100% in-house).",,,"<ul>
	 
	<li>Minutes of various houses, council and provincial meetings.</li> 
	<li>Books on the Founder of the Congregation, St. Peter Julian Eymard.</li> 
	<li>Liturgical publications.</li> 
	<li>3D itms recovered from the restoration of St. Francis Church.</li> 
	<li>Vestments and other textiles (pre Vatican Council II).</li> 
	<li>Architectural drawings of alterations to St. Francis Church.</li> 
</ul>
",,,,"2010-10-11","981","1","VIC"
"340","Box Hill Hospital","Nelson Road, Box Hill 3128","As above","(03) 9895-3246","(03) 9895-3268",,,"Director of Public Relations","Open daily 3pm-8pm. No reference service or copying services available. Introductory brochure available.","Minimum age 16 years. One week's advance notice of visit required. Proof of identity required.","Events and photographs; annual reports and newsletters.",,,,"<ul> <li>Box Hill Hospital: Annual Reports 1956- .</li> <li>Public Relations Department : Newsletters; photographs .</li> </ul>",,,,"2010-10-11","982","1","VIC"
"341","Broken Hill Proprietary Co Ltd","6-8 Central Boulevard, Fishermans Bend 3207","GPO Box 86A, Melbourne 3001","(03) 9609-2555","(03) 9609-2550",,,"Company Archivist and Recordkeeping Services Manager","Open Mon-Fri 9am-4:30pm; closed Sat,Sun and public holidays. General reference assistance available. Limited copying services charged at an hourly rate. Arrangements can be made for reproduction of photographs, films and videos at commercial rates plus handling fees.","Discretionary and will depend on available resources. One week's advance written notice of visit required and should include details and scope of the research. Closed period of at least 30 years applies to most records. There is a requirement to sign an access agreement. Appropriate citations are required in all cases.","Records of the BHP Company Ltd. The collection centres around records which document the development and conduct of company policy, and the key operations of BHP in the minerals, petroleum and steel industries.","2,500 m (ASA 1999 Conference, 1999)",,,"<ul> <li>Photographs 1885-ct</li> <li>Minutes of the Board of Directors 1885-1985</li> <li>Records of Managing Director/CEO/Chairman 1925-ct</li> <li>Operations Reports for Works &amp; Branches 1915-1987)</li> </ul>",,,,"2010-10-11","983","1","VIC"
"342","Camberwell Grammar School","55 Mont Albert Road, Canterbury 3126","PO Box 151, Balwyn 3103","(03) 9836-6266",,,,"Archivist","Not open to the public. Reference assistance by mail and telephone available. Copying services for books, journals and original records to A3 available.",,"The history of Camberwell Grammar School:records regarding staff, students, buildings and events. (100% in-house).",,,,"<ul> <li>Camberwell Grammar School: <em>Grammarian</em> (school magazine) 1915-(1m); <em>Spectomur</em> 1960s- ; Photographs 1900s-.</li> </ul>",,,,"2010-10-11","984","1","VIC"
"343","Carey Baptist Grammar School","349 Barkers Road, Kew 3101","As above","(03) 9816-1331","(03) 9816-1264",,"archives@carey.vic.edu.au","Archivist - Joanne Horsley; Honorary Archivist - Alfred B. Mellor","Open Wed &amp; Fri including school holidays and by appointment. General reference assistance and copying services available.",,"The history and heritage of Carey Baptist Grammar School.",,,,"<ul> <li>The School Archives is in-house and geared to documenting and preserving school records from Carey's Foundation Day, 13 February, 1923. The archives accepts significant private papers and memorabilia from past students and staff.</li> </ul>",,,,"2010-10-11","985","1","VIC"
"344","Catholic Education Office - Archdiocese of Melbourne","228 Victoria Parade, East Melbourne","PO Box 3, East Melbourne 3002","(03) 9267-0228","(03) 9415-9325","http://www.ceo.melb.catholic.edu.au","director@ceo.melb.catholic.edu.au","The Director of Catholic Education","Open Mon-Thurs 9am-5pm; closed on public holidays and between Christmas and New Year. General reference assistance available. Copying services for original records to A3 and microfilms available.","4-6 weeks required for approval of 'Request for Access' form. Advance notice of visit by arrangement with the Archivist required. Closed period of 15 years applies to most records, but certain groups and categories are not available at all.","To identify, select and preserve the records of the Catholic Education Office, Archdiocese of Melbourne, the Catholic Education Commission of Victoria, the Catholic Education Office of Victoria and their associated boards, commissions, committees and bodies relating to the administration of Catholic Education in Victoria excluding records of other dioceses, religious congregations or schools. (99.5% in-house).",,"Archivist",,"<ul> <li>Catholic Education Office, Melbourne: 1932- (most material 1960s-)</li> <li>Catholic Education Commission of Victoria: 1973-</li> <li>Catholic Education Office of Victoria: 1973- (General records, Board and Commission papers, Reports etc for each of the above)</li> </ul>",,,,"2010-10-11","986","1","VIC"
"345","Cohuna & District Historical Society Inc.","1A Sampson Street, Cohuna 3568","PO Box 423, Cohuna 3568","(03) 5456-7332 / 5456-2713",,"http://www.cybanet.net.au/~cdhs","cdhs@cybanet.net.au","President/Secretary","Our Museum is open the first Sunday of each month from 2-4pm and each Monday morning from 10am to 12 noon or by request. We have reference assistance available by mail or in person. Copying services are available where there is no copyright infringement and we can copy to A3 size. We have a large collection of photographs which can be copied and have a photographer who can reproduce any photos brought in to him. We have local newspapers from 1882 (on microfilm until 1966 then bound in yearly editions.)","The Archives Centre is open each Friday from 1-4pm or by appointment. Phone numbers as above.","History of Cohuna and District.",,,,,,,,"2010-10-11","987","1","VIC"
"346","Coles Myer Ltd",,,,,,,,,"Records of Coles Myer and its predecessors are held at the State Library of Victoria. Access to the collection is restricted while it is being sorted and listed.",,,,,"<ul> <li>Myer Emporium Ltd: Catalogues 1901-1980 (4m); Photographs 1901-(3m); Advertisements, Guard Books 1920s-1980s (5m); Board Minutes 1948- (3m).</li> <li>Grace Brothers Ltd: Catalogues (Model Trader) 1900s-1960 (6m).</li> <li>G J Coles and Coy Ltd: Staff Journal 1928-1985 (3m); Photographs 1914- (10m); Store Files 1914-(6m); Board Minutes 1927- (3m).</li> <li>Farmer and Co.: Catalogues 1880-1930 (5m).</li> </ul>",,"<ul> <li><em>The Business History Bulletin</em>, Vol 4 No 1 (Winter 1990): 7-8.</li> <li>'Coles Myer Ltd: Corporate Archives and History Project' <em>Australian Corporate History Bulletin</em>, Vol 3 No 1 (August 1987).</li> <li>'Coles Myer Archives' <em>Informaa</em> 27 (2) (Mar/April 1994): 7</li> </ul>",,"2010-10-11","988","1","VIC"
"347","City of Melbourne Archives","Town Hall, Swanston Street, Melbourne 3000","GPO Box 1603M, Melbourne 3001","(03) 9658-9771 / 9658-9770","(03) 9654-4854",,,"Senior Archivist","Open Mon-Fri 9am-5pm. General reference assistance and general copying services available. Referral to paid researchers is available.","Tertiary level education required. 24 hours' advance notice of visit, background to researcher and research topic required.","City of Melbourne records only. Collection reflects broad interest of council.","5,000m (97% in-house).","Archivist","All permanent records transferred to the Public Record Office of Victoria by the end of 1996.","<ul> <li>Melbourne City Council: Minutes of Council and Standing Committees 1842- (589m); Building Approval Records (plans and files) 1916- (1774m); Valuation Books 1864- (27m); Town Clerks Correspondence files 1910-1983 (451m); Rate books (Microform) 1845-1975; City Engineer Correspondence Files 1940-1986 (206m); Statutory Planning Files 1971-1984 (171m); City Architects Plans 1845- (62m).</li> <li>Shrine of Remembrance Trustees: Various series: correspondence files, minutes, photographs, plans 1921-(5.5m).</li> </ul>",,,,"2010-10-11","989","1","VIC"
"348","Deakin University Archives","Pigdons Road, Waurn Ponds 3217
","As above
","(03) 92446730",,"http://www.deakin.edu.au/",,"Archivist","Open by appointment only; closed bank holidays and between Christmas and New Year. Reference assistance available in person. Copying services for original records to A3, microfilms and photographs available.
","1 week's advance notice of visit required. Proof of identity required.
","The survey, appraisal, selection, custody and preservation of the official records of the University, including the records of Council and other committees of the University, and records of the academic and administrative divisions of the University for the purposes of present and future scholarly research. The University includes the former Toorak Teachers College, Burwood Teachers College, Rusden Teachers College, Prahran TAFE and Victoria College.
","1,200m (100% in-house)",,,"<ul>
	<li>Central Registry: Administrative files 1955- .</li> 
	<li>Corporate Services: Committee Minutes and Agendas 1955- .</li> 
	<li>Press Office: News Cuttings 1955- .</li> 
	<li>Student Records: Student Files 1955- .</li> 
	<li>Personnel Branch: Staff Files 1955- .</li> 
	<li>Production Unit: Course Books 1972- .</li> 
</ul>
",,,,"2010-10-11","990","1","VIC"
"349","Goold Catholic Museum
Melbourne Diocesan Historical Commission, Catholic Archdiocese of Melbourne","383 Albert Street, East Melbourne VIC 3002","As above","(03) 9926 5677",,"http:/www.cam.org.au/mdhc/","Rachel.Naughton@cam.org.au
",,"Visits by appointment only. ",,"This ecclesiastical collection is housed in both a modern building and an 1880s building and covers the history of the Catholic Church in Victoria. Artefacts, furniture and artworks are on permanent display. Liturgical textiles, photographs and documentary material, including official diocesan records may be accessed for research. All visits by appointment.","Museum Collection - 362 lineal shelf metres. Archive Collection   - 788.50 lineal shelf metres
","Archivist & Museum Manager above",,"<ul> <li>Catholic Archdiocese of Melbourne: Ecclesiastical records, books, photographs, vestments and artworks 1834- .</li> </ul>",,"<ul> <li>Melbourne Diocesan Historical Commission: <em>Footprints</em> Journal, Biannual.</li> </ul>",,"2011-02-21","991","1","VIC"
"350","Eltham College","1660 Main Road, Research 3095
","PO Box 40, Eltham, Victoria 3095
","(03) 9437-1421","(03) 9437-1003","http://www.elthamcollege.vic.edu.au","eltham@eltham.edu.au","College Archivist","Open by appointment only during school terms. General reference service available.
","Most records open. Some restricted because of privacy issues
","Records and artefacts relating to the foundation, development and activities of the College since its foundation in 1973. (100% in-house).
",,"College Archivist",,"<ul>
	<li>School magazine Forum 1974-ct</li>
	<li>Prospectuses 1973-ct</li>
	<li>Photographs 1973-ct</li>
	<li>College Council minutes 1973-ct</li>
	<li>Artefacts e.g. uniforms, badges, trophies</li>
</ul>
",,"<em>Eltham College, School Photo Eltham College 1973-1983</em>, Eltham, 1973
",,"2010-10-11","992","1","VIC"
"351","Geelong Heritage Centre","51 Little Malop Street, Geelong 3220","PO Box 104, Geelong 3220","(03) 5227-0970","(03) 5221-1328","http://www.geelongaustralia.com.au/services/archives","heritage@geelongcity.vic.gov.au","Director","Open Tuesday, Wednesday, Thursday and Friday 11am - 5.30pm. Closed Mondays, Geelong Cup Day, Christmas Day, Boxing Day and New Year's Day. General reference assistance available. Copying services available for books, journals, microfilms, photographs, newspapers, maps and plans. Referral to paid researchers is available. Introductory brochure available.",,"Geelong and District.","846 m (ACA Australian Archival Statistics, 1998)","Research Officer","Previously known as Geelong Historical Records Centre","<ul> <li>Extensive genealogy microfiche and CD's for all states of Australia, IGI and Geelong Advertiser Newspapers 1840- (35m).</li> <li>Geelong Churches (various): Registers 1840- (10m).</li> <li>Geelong Cemeteries Trust: Registers 1840-1990 (0.5m).</li> <li>Geelong Schools (various): Pupil Registers 1875-1960 (4m). Buchan and Laird: Architectural 1896-1970 (50m).</li> <li>Cheetham Salt: Manufacturing Records 1889-1988 (26m).</li> <li>Gordon Institute: Education Records 1887-1977 (18m).</li> <li>Geelong Municipal Council: Local Government Records 1850-1993 (60m); Rates and Minutes 1850-1993 (60m).</li> <li>Harwood and Pincott: Maps and plans (land) 1840-1950 (6m). Higgins: Solicitors' Records 1840-1860 (3m).</li> <li>Geelong history reference books.</li> <li>Photographs, maps.</li> </ul>",,,,"2010-10-11","993","1","VIC"
"352","Heidelberg Historical Society","Jika Street, Heidelberg 3084","PO Box 39, Heidelberg 3084","(03) 9455-2130",,"http://member.telpacific.com.au/heidhist","heidhist@telpacific.com.au","Secretary","Open Sun 2-5pm and by appointment; closed December and January. General reference assistance available. Copying services available for books, journals, original records to A3, photographs, newspapers, maps and plans. Referral to paid researchers is available. Introductory brochure available.","One week's advance notice of visit required.","Any material relating to the history of Heidelberg and district and on persons associated with the district. Particular reference is made to the Heidelberg School of Artists.","15m (100% collecting)",,,,,,,"2010-10-11","994","1","VIC"
"353","Donald District Archives","56-58 Woods Street, Donald 3480","PO Box 111, Donald 3480","(03) 5497-2287 or archivist a.h. (03) 5497-1344",,,"lilkirk@iinet.net.au","Honorary Archivist","Mon &amp; Thurs 2-5pm, other days by appointment. General reference assistance available. General copying services available.","Advance notice of visit preferred. Records generally available for access; school records available subject to joint approval of Archivist and School Principal.","All aspects of local history. Local natural history including flora, fauna and geology.","50m",,,"<ul> <li><em>The Donald Express</em> Newspaper 1882-1896; <em>The Donald Times</em> Newspaper 1882-1995; <em>The Donald Birchip Times</em> Newspaper 1875- ; <em>Buloke Times</em> 1996-2003.</li> <li>Photographs. Microfilms of newspapers to 1926.</li> <li>R P Falla: Records of Shire of St Arnaud Council Meetings 1861-1991 (3 volumes).</li> <li>Archives Committee: Boxed materials (catalogues) 1863-(40m); Vertical files 1863-(2 cabinets); Local newspapers 1912-; Births Deaths and Marriages and Post Office Guides 1835-1940; Victorian Government Gazettes 1856-1910; Personal records, files of local families, local plant specimens and bird lists.</li> <li>R P Falla: Selectors in parishes of Donald and surrounding districts.</li> <li>Publications of local history - list available.</li> </ul>",,,,"2010-10-11","995","1","VIC"
"354","Korowa Anglican Girls' School","Ranfurlie Crescent, Glen Iris 3146","As above","(03) 9885-0336","(03) 9885-8378","http://www.korowa.vic.edu.au",,"School Archivist","Open Tuesday and Thursday by appointment only; closed in school holidays. General reference and copying services available.","Records relating to the development, history and operation of the School and memorabilia from past students and staff.","Materials related to the development, history and day-to-day procedures of the school (80% in-house, 20% collecting).",,"School Archivist",,"<ul> <li>School Magazines 1912-.</li> <li>School Council Minutes 1920-.</li> <li>School Memorabilia and Photographs 1900-.</li> </ul>",,,,"2010-10-11","996","1","VIC"
"355","La Trobe University Archives","La Trobe University, Bundoora 3083","As above","(03) 9479-1111","(03) 9478-5814","http://www.latrobe.edu.au/",,"Archives Officer","Open Mon-Fri by appointment; closed Christmas to New Year. General reference assistance available. General copying services available.","Advance notice of visit required.","The University has resolved to collect its own records only but not to refuse donations to the Archives. All donations are accepted on the condition that they may be redirected to other collecting institutions.","1,019 m (ACA Australian Archival Statistics, 1998)",,,,,,,"2010-10-11","997","1","VIC"
"356","Melbourne Cricket Club","Melbourne Cricket Club Museum, Melbourne Cricket Ground, Jolimont Terrace, Jolimont 3002","PO Box 175, East Melbourne 3002","(03) 9657-8888 (extension 8104)","(03) 9650-5682",,,"Curator","Open by appointment only; closed public holidays. General reference assistance available.","Tertiary level education preferred. Advance notice of visit and purpose of research are required. Records generally available for access. Access to closed material may be arranged subject to approval by MCC Museum Director or MCC Committee.","The MCC Archives reflect the administration of the MCC as a private sporting club, and as an important cricket institution and promoter of a national Australian game.","50m (80% in-house).",,,"<ul> <li>MCC Administration: Various including minutes, letters, nomination forms, contracts etc 1859-1989 (50m).</li> <li>Melbourne Football Club: Minutes 1820-1950 (3m).</li> </ul>",,,,"2010-10-11","998","1","VIC"
"357","Melbourne Grammar School","Domain Road, South Yarra 3141","As above","(03) 9868-7100","(03) 9868-7177",,,"Archivist","Open by appointment only; closed in school holidays. Reference assistance available by mail and telephone. Copying services for books and journals available.",,"Material illustrating history of school and achievements of old boys.","40m (100% in-house).",,,,,,,"2010-10-11","999","1","VIC"
"358","Monash University Archives","Building 3D, Clayton Campus, Wellington Road, Clayton","Records &amp; Archives Services, Monash University 3800","(03) 9905-3674","(03) 9905-3884","http://www.adm.monash.edu.au/records-archives",,"University Archivist, Kathryn.Dan@adm.monash.edu.au","Open Mon-Fri by appointment; closed weekends and official University holidays. General reference assistance available. Copying services available for original records to A3.","1 week's advance notice of visit required including purpose of enquiry and documentation sought.","The University Archives are in-house and geared to documenting administrative processes and the teaching and research functions of the University. The Archives also accepts private papers from senior staff when appropriate.","1,648 m (ASA 1999 Conference, 1998)","Archives Manager, Jan.Getson@adm.monash.edu.au",,"<ul> <li>Clayton Campus: University Council agenda papers and minutes, 1958- (8.1m); Professional (Academic) Board minutes, 1960-(5m); Administrative correspondence from the Central Record System, 1961- (296m); Administrative papers from offices of the Vice Chancellor, Deans of Faculties, Faculty Assistant Registrars, Academic Heads of Department, Wardens Office University Union, Monash Association of Students; Private papers of individual academics.</li> <li>Caulfield Campus: Correspondence leading to the establishment of the Caulfield Technical School, 1915-1921; Administrative correspondence, minutes and agenda papers relating to Chisholm Institute of Technology and its predecessors, 1922-1990.</li> <li>Frankston Campus: Records of the former Frankston Teachers' College, c1959- ; Minutes and agenda papers of State College of Victoria (Frankston), 1970-1977.</li> </ul>",,,,"2010-10-11","1000","1","VIC"
"359","Museum Victoria","Carlton Gardens, Carlton, Victoria","GPO Box 666E, Melbourne, 3001","(03) 9669-9002","(03) 9663-3669","http://www.museum.vic.gov.au/",,"Manager, Ethnohistoric Material and Manager, Thomson Collection","Open Mon-Fri 9:30am-5:30pm or by appointment; closed public holidays. General reference assistance available.","Access closed until January 2001.",,,,,,,,,"2010-10-11","1001","1","VIC"
"360","National Australia Bank","122 Lewis Road, Wantirna South, Vic 3152 
","As above 
","(03) 9886 2448","(03) 9886 2737",,"Bernard.M.McGrath@nab.com.au","Manager","Open Mon-Fri 9:30am-4:30pm by appointment; closed public holidays and bank holidays. General reference assistance available. General copying services available. Introductory brochure available. 
","Advance notice of visit required to ensure availability of resources and material. Application for access assessed and approved by Manager, Group Archives. 
","Records of the National Australia Bank and its progenitors. 
","3,000m (100% in-house).","Archivist",,"<ul>
	<li>National Australia Bank (1983- ) and its ten progenitors ie Bank of Queensland (1917-1922), Bank of North Queensland (1888-1917), Royal Bank of Queensland (1886-1917), Queensland National (1872-1948), Ballarat Banking Company (1865-1955), National Bank of Australasia (1858-1983), Colonial of Australasia (1856-1918), Bank of Victoria (1853-1927), Bendigo (1853-1854), and the Commercial Banking Company of Sydney (1834-1983): Board Minutes and Annual Reports; Diaries and Letter Books; Procedures and Circulars; Balance Books and Registers; Files and Photographs.</li>
</ul>
",,"<ul>
	<li>Blainey, Geoffrey, Bibliography - Archives of the National Bank, <em>Gold and Paper</em>. The National Bank of Australasia Limited, 1958:416-418.</li>
	<li>Nunn, H W, Bibliography, <em>Select Documents of the Nineteenth Century</em> Volume 2. National Australia Bank Limited, 1988:748.</li>
</ul>
",,"2010-10-11","1002","1","VIC"
"361","National Trust of Australia (Victoria), Conservation Division","Tasma Terrace, Parliament Place, East Melbourne 3002","As above","(03) 9654-4711","(03) 9650-5397",,,"Secretary, Conservation Division","Open Mon, Wed and Fri 9am-12:30pm and 2-4pm; closed Christmas and New Year period. Reference assistance available in person and by telephone. Copying services available for original records to A3, photographs, newspapers, maps and plans. Copying is charged at 10c a page. Referral to paid researcher available.","Appointment with the Secretary required for visit.","Largest collection of material on heritage properties in Victoria. Files on over 6,000 properties (including some now demolished), heritage precincts (urban, rural and cultural/natural landscapes), significant trees, gardens. Also photographs.","100m (50% in-house).",,,"<ul> <li>National Trust (Victoria): Property Files 1956- (55m)</li> <li>Trust Owned Properties 1956- (17m)</li> <li>Landscapes (10m)</li> <li>Urban Conservation Areas (7m)</li> <li>Gardens/Significant Trees (5m)</li> </ul>",,,,"2010-10-11","1003","1","VIC"
"362","Note Printing Australia","Hume Highway, Craigieburn 3064","PO Box 21, Craigieburn 3064","(03) 9303-0444","(03) 9303-0491","http://www.noteprinting.com",,"John Leckenby - Chief Executive",,,,,,,,,,,"2010-10-11","1004","1","VIC"
"363","Parliament of Victoria - Legislative Assembly, Original Papers","Spring Street, Melbourne 3002","As above","(03) 9651-8510",,,,"Clerk of Papers","Open Mon and Fri 9:30am-3:30pm; closed while Parliament is sitting, weekends and public holidays. General reference assistance may be available.","3 days' advance notice of intention to visit specifying type and title of material is required. Access only by permission.","Original papers, reports, maps, petitions etc tabled in the Victorian Legislative Assembly.",,,,"<ul> <li>Legislative Assembly: Reports 1856- ; Petitions 1856- .</li> <li>Legislative Assembly Committee: Reports 1856- .</li> </ul>",,,,"2010-10-11","1005","1","VIC"
"364","Parliament of Victoria - Legislative Council, Original Papers","Spring Street, Melbourne 3002","As above",,,,,"Clerk of the Papers","Open Mon-Fri 9am-4:30pm or while Parliament is sitting; closed weekends and public holidays. General reference assistance available.","Access only by permission.","Papers, reports, maps, petitions etc tabled in the Victorian Legislative Council.","300m (100% in-house)",,,"<ul> <li>Legislative Council Reports 1856- (100m)</li> <li>Petitions 1856-(50m)</li> <li>Original papers 1856- (300m)</li> </ul>",,,,"2010-10-11","1006","1","VIC"
"365","Penleigh and Essendon Grammar School Archives","Fletcher Street, Essendon, 3040
","<span style=""font-size: 12pt; font-family: Arial"">PO Box</span><span style=""font-size: 12pt; font-family: Arial""> 417</span><span style=""font-size: 12pt; font-family: Arial"">, Niddrie 3042</span>
","(03) 9016 2182","(03) 9016 2200","http://www.pegs.vic.edu.au","archives@pegs.vic.edu.au","School Archivist","Open by appointment only. General reference assistance available.
","All records are closed until requested. Written permission required from Principal for some groups of records.
","<span style=""font-size: 12pt; font-family: Arial"">Records relating to Penleigh and Essendon Grammar School and the School’s predecessor organisations: Carlton College; Dorset House Ladies’ School; Ascot Vale Girls’ High School; St Thomas’ Grammar; Penleigh Girls’ School; Penleigh Presbyterian Girls’ School; Northern
Presbyterian College; Northern Grammar; Essendon Grammar.</span>
",,"Brigid Cooper, School Archivist",,"<ul>
	<li>
	<div align=""left"">
	<span style=""font-family: Arial"">School publications, including: <em>The Triune</em> - Essendon
	Grammar School (1934–1980); the <em>Penleigh Magazine - </em>Penleigh Girls’ School/Penleigh Presbyterian Girls’ School (1917–1960); <em>Black Watch - </em>Penleigh Presbyterian Girls’ School (1961–1980); <em>TheYear book</em> - Penleigh and Essendon Grammar School (1981 to present).</span>
	</div>
	</li>
	<li>
	<div align=""left"">
	<span style=""font-family: Arial"">Photographic material.</span>
	</div>
	<!--[endif]--></li>
	<li>
	<div align=""left"">
	<span style=""font-family: Arial"">Administrative records.</span>
	</div>
	<!--[endif]--></li>
	<li>
	<div align=""left"">
	</div>
	<span style=""font-family: Arial"">Audio-visual material, including oral histories.</span>
	</li>
	<li>
	<div align=""left"">
	<!--[endif]--><span style=""font-family: Arial"">Textiles, including: school uniforms; flags; banners</span>
	</div>
	</li>
	<li>
	<div align=""left"">
	<span style=""font-size: 12pt; font-family: Arial"">Former Students’ Association publications, including: <em>Altior et sapientior</em></span>.
	</div>
	</li>
</ul>
",,"<div align=""left"">
<ul>
	<li>Peel, Victoria  P<em>enleigh and Essendon Grammar School: A History</em>, 2001.</li>
	<li> Old Essendon Grammarians? Association, <em>A History of Essendon Grammar School</em>, 1972</li>
	<li>Tucker, Lyle  <em>Splendoured Road from Dorset: A centenary history of Penleigh Presbyterian Ladies College commissioned by the school council 1971</em>, 1971</li>
</ul>
</div>
<br />
",,"2010-10-11","1007","1","VIC"
"367","Presbyterian Ladies' College, Melbourne","Burwood Highway, Burwood 3125
","As above
","(03) 9808-5811","(03) 9808-5998",,"jdyer@plc.vic.edu.au","Jane Dyer, Archivist","Open during school term by appointment; closed all school holidays.
","Telephone or written notice of visit required.
","School records, publications, information on Old Collegians and former staff ( 100% in house)
",,"PLC Archivist; jdyer@plc.vic.edu.au",,,,,,"2010-10-11","1009","1","VIC"
"368","Ringwood Historical Research Group Inc","20 Mullum Road, Ringwood 3134","128 Maroondah Highway, Ringwood 3134","9870 6211",,"http://www.rhs.org.au",,"Richard Carter (President)","General reference assistance available. Copying services for photographs, maps and plans available.","Advance notice of visit and details of query required by letter or by telephone.","Collection includes newspaper cuttings, letters, programs, some written articles, some written memoirs and some biographical material of early Ringwood residents, reports and minutes of Ringwood organisations, some diaries (limited access).","c13m (75% in-house)","Richard Carter 9870 6211 (A/H 9876 4124) 128 Maroondah Highway, Ringwood 3134 Sandra Smart (Secretary) 9870 4351",,,,,,"2010-10-11","1010","1","VIC"
"369","Royal Australasian College of Surgeons","College of Surgeons Gardens, Spring Street, Melbourne 3000","As above","(03) 9249-1270","(03) 9249-1219",,"College.archives@surgeons.org","Archivist","Open Mon-Fri 9am-5pm. General reference assistance available. Copying services for books, journals, original records to A3 and photographs available.","Closed period of 30 years applies to most records. Access to records within the closed period can be gained by authorization from the Chief Executive.","Domestic archival service to Royal Australasian College of Surgeons. NZ records of these are under branch storage arrangements. Some Australian state records are being brought to Melbourne. Some records of individual surgeons and related specialist societies are also held.","100 m (ACA Australian Archival Statistics, 1998)",,,"<ul> <li>RACS: Fellowship files 1926- (17m); Photographs 1930- (1m); Minutes and Agenda papers 1926- (9m); Correspondence files 1930- (40m).</li> <li>Archibald Watson: Diaries and Correspondence 1882-1940 (1m).</li> <li>Sidcup Military Hospital, UK: Watercolours of facial injuries etc by Daryl Lindsay and other records 1916-1919 (1m).</li> <li>Heidelberg Hospital, Melbourne: B K Bank wartime and post war plastic surgery records 1943-1945 (5m).</li> </ul>",,"<ul> <li>Smith, C.V., 'For the Record' column <em>RACS Bulletin</em> Vol 10, No 2 (July 1990): 42-44; Vol 13, No 2 (July 1993): 71-72.</li> </ul>",,"2010-10-11","1011","1","VIC"
